id,zip_code,created_at,updated_at
1,1206,2021-09-20 10:21:50,2021-09-20 10:21:50
2,1350,2021-09-20 10:21:50,2021-09-20 10:21:50
3,1351,2021-09-20 10:21:50,2021-09-20 10:21:50
4,1209,2021-09-20 10:21:50,2021-09-20 10:21:50
5,1213,2021-09-20 10:21:50,2021-09-20 10:21:50
6,1212,2021-09-20 10:21:50,2021-09-20 10:21:50
7,1212,2021-09-20 10:21:50,2021-09-20 10:21:50
8,1232,2021-09-20 10:21:50,2021-09-20 10:21:50
9,1330,2021-09-20 10:21:50,2021-09-20 10:21:50
10,1331,2021-09-20 10:21:50,2021-09-20 10:21:50
11,1332,2021-09-20 10:21:50,2021-09-20 10:21:50
12,1331,2021-09-20 10:21:50,2021-09-20 10:21:50
13,1312,2021-09-20 10:21:50,2021-09-20 10:21:50
14,1311,2021-09-20 10:21:50,2021-09-20 10:21:50
15,1313,2021-09-20 10:21:50,2021-09-20 10:21:50
16,1310,2021-09-20 10:21:50,2021-09-20 10:21:50
17,1219,2021-09-20 10:21:50,2021-09-20 10:21:50
18,1229,2021-09-20 10:21:50,2021-09-20 10:21:50
19,1211,2021-09-20 10:21:50,2021-09-20 10:21:50
20,1216,2021-09-20 10:21:50,2021-09-20 10:21:50
21,1207,2021-09-20 10:21:50,2021-09-20 10:21:50
22,1225,2021-09-20 10:21:50,2021-09-20 10:21:50
23,1222,2021-09-20 10:21:50,2021-09-20 10:21:50
24,1223,2021-09-20 10:21:50,2021-09-20 10:21:50
25,1323,2021-09-20 10:21:50,2021-09-20 10:21:50
26,1325,2021-09-20 10:21:50,2021-09-20 10:21:50
27,1322,2021-09-20 10:21:50,2021-09-20 10:21:50
28,1321,2021-09-20 10:21:50,2021-09-20 10:21:50
29,1324,2021-09-20 10:21:50,2021-09-20 10:21:50
30,1320,2021-09-20 10:21:50,2021-09-20 10:21:50
31,1205,2021-09-20 10:21:50,2021-09-20 10:21:50
32,1000,2021-09-20 10:21:50,2021-09-20 10:21:50
33,1217,2021-09-20 10:21:50,2021-09-20 10:21:50
34,1214,2021-09-20 10:21:50,2021-09-20 10:21:50
35,1348,2021-09-20 10:21:50,2021-09-20 10:21:50
36,1341,2021-09-20 10:21:50,2021-09-20 10:21:50
37,1349,2021-09-20 10:21:50,2021-09-20 10:21:50
38,1342,2021-09-20 10:21:50,2021-09-20 10:21:50
39,1346,2021-09-20 10:21:50,2021-09-20 10:21:50
40,1347,2021-09-20 10:21:50,2021-09-20 10:21:50
41,1340,2021-09-20 10:21:50,2021-09-20 10:21:50
42,1344,2021-09-20 10:21:50,2021-09-20 10:21:50
43,1343,2021-09-20 10:21:50,2021-09-20 10:21:50
44,1345,2021-09-20 10:21:50,2021-09-20 10:21:50
45,1100,2021-09-20 10:21:50,2021-09-20 10:21:50
46,1204,2021-09-20 10:21:50,2021-09-20 10:21:50
47,1203,2021-09-20 10:21:50,2021-09-20 10:21:50
48,1215,2021-09-20 10:21:50,2021-09-20 10:21:50
49,1208,2021-09-20 10:21:50,2021-09-20 10:21:50
50,1230,2021-09-20 10:21:50,2021-09-20 10:21:50
51,7870,2021-09-20 10:21:50,2021-09-20 10:21:50
52,7830,2021-09-20 10:21:50,2021-09-20 10:21:50
53,7860,2021-09-20 10:21:50,2021-09-20 10:21:50
54,7861,2021-09-20 10:21:50,2021-09-20 10:21:50
55,7810,2021-09-20 10:21:50,2021-09-20 10:21:50
56,7802,2021-09-20 10:21:50,2021-09-20 10:21:50
57,7803,2021-09-20 10:21:50,2021-09-20 10:21:50
58,7800,2021-09-20 10:21:50,2021-09-20 10:21:50
59,7801,2021-09-20 10:21:50,2021-09-20 10:21:50
60,7851,2021-09-20 10:21:50,2021-09-20 10:21:50
61,7850,2021-09-20 10:21:50,2021-09-20 10:21:50
62,7840,2021-09-20 10:21:50,2021-09-20 10:21:50
63,7841,2021-09-20 10:21:50,2021-09-20 10:21:50
64,7822,2021-09-20 10:21:50,2021-09-20 10:21:50
65,7821,2021-09-20 10:21:50,2021-09-20 10:21:50
66,7820,2021-09-20 10:21:50,2021-09-20 10:21:50
67,7804,2021-09-20 10:21:50,2021-09-20 10:21:50
68,1703,2021-09-20 10:21:50,2021-09-20 10:21:50
69,1701,2021-09-20 10:21:50,2021-09-20 10:21:50
70,1702,2021-09-20 10:21:50,2021-09-20 10:21:50
71,1700,2021-09-20 10:21:50,2021-09-20 10:21:50
72,1704,2021-09-20 10:21:50,2021-09-20 10:21:50
73,1750,2021-09-20 10:21:50,2021-09-20 10:21:50
74,1346,2021-09-20 10:21:50,2021-09-20 10:21:50
75,1751,2021-09-20 10:21:50,2021-09-20 10:21:50
76,1720,2021-09-20 10:21:50,2021-09-20 10:21:50
77,1721,2021-09-20 10:21:50,2021-09-20 10:21:50
78,1722,2021-09-20 10:21:50,2021-09-20 10:21:50
79,1723,2021-09-20 10:21:50,2021-09-20 10:21:50
80,1730,2021-09-20 10:21:50,2021-09-20 10:21:50
81,1712,2021-09-20 10:21:50,2021-09-20 10:21:50
82,1710,2021-09-20 10:21:50,2021-09-20 10:21:50
83,1711,2021-09-20 10:21:50,2021-09-20 10:21:50
84,1743,2021-09-20 10:21:50,2021-09-20 10:21:50
85,1747,2021-09-20 10:21:50,2021-09-20 10:21:50
86,1748,2021-09-20 10:21:50,2021-09-20 10:21:50
87,1745,2021-09-20 10:21:50,2021-09-20 10:21:50
88,1744,2021-09-20 10:21:50,2021-09-20 10:21:50
89,1740,2021-09-20 10:21:50,2021-09-20 10:21:50
90,1740,2021-09-20 10:21:50,2021-09-20 10:21:50
91,1740,2021-09-20 10:21:50,2021-09-20 10:21:50
92,1741,2021-09-20 10:21:50,2021-09-20 10:21:50
93,1742,2021-09-20 10:21:50,2021-09-20 10:21:50
94,8102,2021-09-20 10:21:50,2021-09-20 10:21:50
95,8013,2021-09-20 10:21:50,2021-09-20 10:21:50
96,8100,2021-09-20 10:21:50,2021-09-20 10:21:50
97,8101,2021-09-20 10:21:50,2021-09-20 10:21:50
98,8133,2021-09-20 10:21:50,2021-09-20 10:21:50
99,8130,2021-09-20 10:21:50,2021-09-20 10:21:50
100,8131,2021-09-20 10:21:50,2021-09-20 10:21:50
101,8132,2021-09-20 10:21:50,2021-09-20 10:21:50
102,8110,2021-09-20 10:21:50,2021-09-20 10:21:50
103,8141,2021-09-20 10:21:50,2021-09-20 10:21:50
104,8142,2021-09-20 10:21:50,2021-09-20 10:21:50
105,8140,2021-09-20 10:21:50,2021-09-20 10:21:50
106,8121,2021-09-20 10:21:50,2021-09-20 10:21:50
107,8120,2021-09-20 10:21:50,2021-09-20 10:21:50
108,2336,2021-09-20 10:21:50,2021-09-20 10:21:50
109,2338,2021-09-20 10:21:50,2021-09-20 10:21:50
110,2337,2021-09-20 10:21:50,2021-09-20 10:21:50
111,2350,2021-09-20 10:21:50,2021-09-20 10:21:50
112,2320,2021-09-20 10:21:50,2021-09-20 10:21:50
113,2390,2021-09-20 10:21:50,2021-09-20 10:21:50
114,2310,2021-09-20 10:21:50,2021-09-20 10:21:50
115,2331,2021-09-20 10:21:50,2021-09-20 10:21:50
116,2330,2021-09-20 10:21:50,2021-09-20 10:21:50
117,2301,2021-09-20 10:21:50,2021-09-20 10:21:50
118,2300,2021-09-20 10:21:50,2021-09-20 10:21:50
119,2302,2021-09-20 10:21:50,2021-09-20 10:21:50
120,2303,2021-09-20 10:21:50,2021-09-20 10:21:50
121,2341,2021-09-20 10:21:50,2021-09-20 10:21:50
122,2340,2021-09-20 10:21:50,2021-09-20 10:21:50
123,2371,2021-09-20 10:21:50,2021-09-20 10:21:50
124,2370,2021-09-20 10:21:50,2021-09-20 10:21:50
125,2360,2021-09-20 10:21:50,2021-09-20 10:21:50
126,2380,2021-09-20 10:21:50,2021-09-20 10:21:50
127,2326,2021-09-20 10:21:50,2021-09-20 10:21:50
128,2316,2021-09-20 10:21:50,2021-09-20 10:21:50
129,7932,2021-09-20 10:21:50,2021-09-20 10:21:50
130,7930,2021-09-20 10:21:50,2021-09-20 10:21:50
131,7931,2021-09-20 10:21:50,2021-09-20 10:21:50
132,7933,2021-09-20 10:21:50,2021-09-20 10:21:50
133,7920,2021-09-20 10:21:50,2021-09-20 10:21:50
134,7921,2021-09-20 10:21:50,2021-09-20 10:21:50
135,7901,2021-09-20 10:21:50,2021-09-20 10:21:50
136,7903,2021-09-20 10:21:50,2021-09-20 10:21:50
137,7902,2021-09-20 10:21:50,2021-09-20 10:21:50
138,7900,2021-09-20 10:21:50,2021-09-20 10:21:50
139,7904,2021-09-20 10:21:50,2021-09-20 10:21:50
140,7911,2021-09-20 10:21:50,2021-09-20 10:21:50
141,7910,2021-09-20 10:21:50,2021-09-20 10:21:50
142,1860,2021-09-20 10:21:50,2021-09-20 10:21:50
143,1840,2021-09-20 10:21:50,2021-09-20 10:21:50
144,1831,2021-09-20 10:21:50,2021-09-20 10:21:50
145,1830,2021-09-20 10:21:50,2021-09-20 10:21:50
146,1804,2021-09-20 10:21:50,2021-09-20 10:21:50
147,1802,2021-09-20 10:21:50,2021-09-20 10:21:50
148,1803,2021-09-20 10:21:50,2021-09-20 10:21:50
149,1801,2021-09-20 10:21:50,2021-09-20 10:21:50
150,1800,2021-09-20 10:21:50,2021-09-20 10:21:50
151,1811,2021-09-20 10:21:50,2021-09-20 10:21:50
152,1810,2021-09-20 10:21:50,2021-09-20 10:21:50
153,1851,2021-09-20 10:21:50,2021-09-20 10:21:50
154,1850,2021-09-20 10:21:50,2021-09-20 10:21:50
155,1852,2021-09-20 10:21:50,2021-09-20 10:21:50
156,1853,2021-09-20 10:21:50,2021-09-20 10:21:50
